img1,img2,distance
..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img1.jpg,..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img1.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_debc85f516ea_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img2.jpg,..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img2.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_debc85f516ea_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img3.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_debc85f516ea_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_1921916a2be6_img1.jpg,..\image_labeling\data\labeled\intact\frames_1921916a2be6_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_1921916a2be6_img1.jpg,..\image_labeling\data\labeled\intact\frames_1921916a2be6_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_1921916a2be6_img2.jpg,..\image_labeling\data\labeled\intact\frames_1921916a2be6_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_1ab51d425528_img1.jpg,..\image_labeling\data\labeled\intact\frames_a21be65b0bde_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_1bf43b7de0dd_img1.jpg,..\image_labeling\data\labeled\intact\frames_1bf43b7de0dd_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_1bf43b7de0dd_img1.jpg,..\image_labeling\data\labeled\intact\frames_1bf43b7de0dd_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_1bf43b7de0dd_img2.jpg,..\image_labeling\data\labeled\intact\frames_1bf43b7de0dd_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_1c179eaba397_img1.jpg,..\image_labeling\data\labeled\intact\frames_1c179eaba397_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_1c179eaba397_img1.jpg,..\image_labeling\data\labeled\intact\frames_1c179eaba397_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_1c179eaba397_img2.jpg,..\image_labeling\data\labeled\intact\frames_1c179eaba397_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_1d1e59be7866_img2.jpg,..\image_labeling\data\labeled\intact\frames_1d1e59be7866_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_1d93c5a217a1_img1.jpg,..\image_labeling\data\labeled\intact\frames_82591688e55e_img1.jpg,8
..\image_labeling\data\labeled\intact\frames_1d93c5a217a1_img2.jpg,..\image_labeling\data\labeled\intact\frames_fe2800b9ff19_img1.jpg,4
..\image_labeling\data\labeled\intact\frames_1d93c5a217a1_img3.jpg,..\image_labeling\data\labeled\intact\frames_fe2800b9ff19_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_1db12b3db0db_img1.jpg,..\image_labeling\data\labeled\intact\frames_1db12b3db0db_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_1db12b3db0db_img1.jpg,..\image_labeling\data\labeled\intact\frames_1db12b3db0db_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_1db12b3db0db_img2.jpg,..\image_labeling\data\labeled\intact\frames_1db12b3db0db_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_1e10429da284_img1.jpg,..\image_labeling\data\labeled\intact\frames_1e10429da284_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_207bd749e9a4_img1.jpg,..\image_labeling\data\labeled\intact\frames_207bd749e9a4_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_207bd749e9a4_img1.jpg,..\image_labeling\data\labeled\intact\frames_207bd749e9a4_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_207bd749e9a4_img2.jpg,..\image_labeling\data\labeled\intact\frames_207bd749e9a4_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_20db440815a3_img1.jpg,..\image_labeling\data\labeled\intact\frames_20db440815a3_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_22d205ac43c5_img1.jpg,..\image_labeling\data\labeled\intact\frames_22d205ac43c5_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_22d205ac43c5_img1.jpg,..\image_labeling\data\labeled\intact\frames_22d205ac43c5_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_22d205ac43c5_img2.jpg,..\image_labeling\data\labeled\intact\frames_22d205ac43c5_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_234f3c352e79_img1.jpg,..\image_labeling\data\labeled\intact\frames_234f3c352e79_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_234f3c352e79_img1.jpg,..\image_labeling\data\labeled\intact\frames_234f3c352e79_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_234f3c352e79_img2.jpg,..\image_labeling\data\labeled\intact\frames_234f3c352e79_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_236bcd673d1c_img1.jpg,..\image_labeling\data\labeled\intact\frames_236bcd673d1c_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_236bcd673d1c_img1.jpg,..\image_labeling\data\labeled\intact\frames_572ed7c10fb4_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_236bcd673d1c_img1.jpg,..\image_labeling\data\labeled\intact\frames_572ed7c10fb4_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_236bcd673d1c_img2.jpg,..\image_labeling\data\labeled\intact\frames_572ed7c10fb4_img1.jpg,2
..\image_labeling\data\labeled\intact\frames_236bcd673d1c_img2.jpg,..\image_labeling\data\labeled\intact\frames_572ed7c10fb4_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_236bcd673d1c_img3.jpg,..\image_labeling\data\labeled\intact\frames_572ed7c10fb4_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_236bcd673d1c_img3.jpg,..\image_labeling\data\labeled\intact\frames_572ed7c10fb4_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_25594105a2b5_img1.jpg,..\image_labeling\data\labeled\intact\frames_25594105a2b5_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_25594105a2b5_img1.jpg,..\image_labeling\data\labeled\intact\frames_25594105a2b5_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_25594105a2b5_img2.jpg,..\image_labeling\data\labeled\intact\frames_25594105a2b5_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_27c193df54d3_img1.jpg,..\image_labeling\data\labeled\intact\frames_27c193df54d3_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_27e05f9a91b1_img2.jpg,..\image_labeling\data\labeled\intact\frames_27e05f9a91b1_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_281e1dfc1ef0_img1.jpg,..\image_labeling\data\labeled\intact\frames_281e1dfc1ef0_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_29702adc5051_img1.jpg,..\image_labeling\data\labeled\intact\frames_29702adc5051_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_29702adc5051_img1.jpg,..\image_labeling\data\labeled\intact\frames_29702adc5051_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_29702adc5051_img2.jpg,..\image_labeling\data\labeled\intact\frames_29702adc5051_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_299f08f79f95_img1.jpg,..\image_labeling\data\labeled\intact\frames_299f08f79f95_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_299f08f79f95_img1.jpg,..\image_labeling\data\labeled\intact\frames_299f08f79f95_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_299f08f79f95_img2.jpg,..\image_labeling\data\labeled\intact\frames_299f08f79f95_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_2b20043056f0_img1.jpg,..\image_labeling\data\labeled\intact\frames_312e8436c0b4_img1.jpg,6
..\image_labeling\data\labeled\intact\frames_2b20043056f0_img1.jpg,..\image_labeling\data\labeled\intact\frames_312e8436c0b4_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_2ba955d465e5_img1.jpg,..\image_labeling\data\labeled\intact\frames_2ba955d465e5_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_2ba955d465e5_img1.jpg,..\image_labeling\data\labeled\intact\frames_2ba955d465e5_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_2ba955d465e5_img2.jpg,..\image_labeling\data\labeled\intact\frames_2ba955d465e5_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_2bfc8a584a54_img2.jpg,..\image_labeling\data\labeled\intact\frames_2bfc8a584a54_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_2c059d0fc181_img1.jpg,..\image_labeling\data\labeled\intact\frames_2c059d0fc181_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_2c6a94fd5a7b_img2.jpg,..\image_labeling\data\labeled\intact\frames_2c6a94fd5a7b_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_2cb38dd0886f_img1.jpg,..\image_labeling\data\labeled\intact\frames_2cb38dd0886f_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_2cb38dd0886f_img1.jpg,..\image_labeling\data\labeled\intact\frames_2cb38dd0886f_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_2cb38dd0886f_img2.jpg,..\image_labeling\data\labeled\intact\frames_2cb38dd0886f_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_2cd6f74c69c9_img1.jpg,..\image_labeling\data\labeled\intact\frames_2cd6f74c69c9_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_2cd6f74c69c9_img1.jpg,..\image_labeling\data\labeled\intact\frames_2cd6f74c69c9_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_2cd6f74c69c9_img2.jpg,..\image_labeling\data\labeled\intact\frames_2cd6f74c69c9_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_2cdc63c500f2_img1.jpg,..\image_labeling\data\labeled\intact\frames_2cdc63c500f2_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_2cdc63c500f2_img2.jpg,..\image_labeling\data\labeled\intact\frames_2cdc63c500f2_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_2d59d7c46435_img1.jpg,..\image_labeling\data\labeled\intact\frames_2d59d7c46435_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_2d59d7c46435_img1.jpg,..\image_labeling\data\labeled\intact\frames_2d59d7c46435_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_2d59d7c46435_img2.jpg,..\image_labeling\data\labeled\intact\frames_2d59d7c46435_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_2e8364975bb5_img1.jpg,..\image_labeling\data\labeled\intact\frames_2e8364975bb5_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_2e8364975bb5_img1.jpg,..\image_labeling\data\labeled\intact\frames_2e8364975bb5_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_2e8364975bb5_img2.jpg,..\image_labeling\data\labeled\intact\frames_2e8364975bb5_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_2e94c9448d77_img1.jpg,..\image_labeling\data\labeled\intact\frames_2e94c9448d77_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_2e94c9448d77_img1.jpg,..\image_labeling\data\labeled\intact\frames_2e94c9448d77_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_2e94c9448d77_img1.jpg,..\image_labeling\data\labeled\intact\raw_media_2e94c9448d77_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_2e94c9448d77_img2.jpg,..\image_labeling\data\labeled\intact\frames_2e94c9448d77_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_2ee51566f468_img2.jpg,..\image_labeling\data\labeled\intact\frames_2ee51566f468_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_2ef74daa6298_img1.jpg,..\image_labeling\data\labeled\intact\frames_2ef74daa6298_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_2ef74daa6298_img1.jpg,..\image_labeling\data\labeled\intact\frames_2ef74daa6298_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_2ef74daa6298_img2.jpg,..\image_labeling\data\labeled\intact\frames_2ef74daa6298_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_2fbd00ad1651_img1.jpg,..\image_labeling\data\labeled\intact\frames_2fbd00ad1651_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_2fbfcd02b606_img1.jpg,..\image_labeling\data\labeled\intact\frames_2fbfcd02b606_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_2fbfcd02b606_img1.jpg,..\image_labeling\data\labeled\intact\frames_2fbfcd02b606_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_2fbfcd02b606_img2.jpg,..\image_labeling\data\labeled\intact\frames_2fbfcd02b606_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_306f29c39254_img1.jpg,..\image_labeling\data\labeled\intact\frames_306f29c39254_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_306f29c39254_img1.jpg,..\image_labeling\data\labeled\intact\frames_5aa5d05469d6_img1.jpg,0
..\image_labeling\data\labeled\intact\frames_306f29c39254_img1.jpg,..\image_labeling\data\labeled\intact\frames_5aa5d05469d6_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_306f29c39254_img1.jpg,..\image_labeling\data\labeled\intact\frames_5aa5d05469d6_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_306f29c39254_img2.jpg,..\image_labeling\data\labeled\intact\frames_5aa5d05469d6_img1.jpg,2
..\image_labeling\data\labeled\intact\frames_306f29c39254_img2.jpg,..\image_labeling\data\labeled\intact\frames_5aa5d05469d6_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_306f29c39254_img2.jpg,..\image_labeling\data\labeled\intact\frames_5aa5d05469d6_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_30fba293fd03_img1.jpg,..\image_labeling\data\labeled\intact\frames_4960f1879148_img1.jpg,8
..\image_labeling\data\labeled\intact\frames_30fba293fd03_img2.jpg,..\image_labeling\data\labeled\intact\frames_30fba293fd03_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_30fba293fd03_img2.jpg,..\image_labeling\data\labeled\intact\frames_4960f1879148_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_30fba293fd03_img2.jpg,..\image_labeling\data\labeled\intact\frames_4960f1879148_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_30fba293fd03_img3.jpg,..\image_labeling\data\labeled\intact\frames_4960f1879148_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_30fba293fd03_img3.jpg,..\image_labeling\data\labeled\intact\frames_4960f1879148_img3.jpg,4
